Date,Open,High,Low,Close,Volume,Adj Close
10/18/2017,52.18,52.400002,52.099998,52.299999,10890300,52.299999
10/19/2017,51.66,52.799999,51.48,52.689999,12568200,52.689999
10/20/2017,52.790001,53.5,52.790001,53.060001,13020900,53.060001
10/23/2017,53.060001,53.950001,53,53.66,12242600,53.66
10/24/2017,53.900002,54,53.099998,53.419998,14767600,53.419998
10/25/2017,53.43,55.91,52.669998,54.939999,24804000,54.939999
10/26/2017,55.259998,57.25,55.139999,56.810001,22185100,56.810001
10/27/2017,55.82,56.360001,55.650002,55.959999,12801800,55.959999
10/30/2017,55.709999,55.93,54.84,55.27,10169400,55.27
10/31/2017,54.75,55.279999,54.52,54.990002,9794800,54.990002
11/1/2017,55.419998,55.5,54.849998,55.07,7544500,55.07
11/2/2017,55.150002,55.32,54.59,55.119999,7250300,55.119999
11/3/2017,55.150002,55.720001,55.040001,55.709999,9448200,55.709999
11/6/2017,55.290001,56.130001,55.139999,56.040001,9332200,56.040001
11/7/2017,55.75,56.02,55.02,55.150002,7774700,55.150002
11/8/2017,55,55.77,54.889999,55.759998,7079400,55.759998
11/9/2017,55.5,56.349998,55.310001,56.130001,10958500,56.130001
11/10/2017,55.880001,56.490002,55.619999,56.09,7535700,56.09
11/13/2017,55.66,56.09,55.66,55.91,10106100,55.91
11/14/2017,55.709999,56.18,55.529999,55.98,5037500,55.98
11/15/2017,55.959999,56.869999,55.080002,56.630001,6610500,56.630001
11/16/2017,56.619999,57.279999,56.41,57.23,8233300,57.23
11/17/2017,58.540001,59.529999,58.369999,59.189999,15475500,59.189999
11/20/2017,58.630001,59.5,57.98,59.25,8480600,59.25
11/21/2017,59.029999,59.400002,58.93,59.389999,9057800,59.389999
11/22/2017,59.18,59.34,58.939999,59.07,8501300,59.07
11/24/2017,59,59.349998,58.91,59.32,3400400,59.32
